Target (x, y, z) -> Joint Angles (theta1, theta2, theta3, theta4, theta5)
[-0.14, -0.95, 1.43] -> [-98.38, -49.85, 32.05, -32.05, 0.00]
[-1.83, 1.07, 0.19] -> [149.69, -48.70, 124.42, -124.42, 0.00]
[1.08, 0.4, 0.32] -> [20.32, -95.80, 49.51, -49.51, 0.00]
[-1.74, -0.43, 0.57] -> [-166.12, -61.30, 84.38, -84.38, 0.00]
[1.9, -1.35, 1.83] -> [-35.39, 10.38, 161.55, -161.55, 0.00]
[0.11, -1.95, -0.3] -> [-86.77, -56.27, 134.77, -134.77, 0.00]
[-0.22, 0.01, 1.79] -> [177.40, -6.37, 18.42, -18.42, 0.00]
[0.19, 1.7, 1.22] -> [83.62, -44.91, 75.52, -75.52, 0.00]
[0.15, -1.18, -0.24] -> [-82.76, -98.66, 75.05, -75.05, 0.00]
[-0.76, -1.91, 1.99] -> [-111.70, -1.31, 125.95, -125.95, 0.00]
[-1.53, -1.15, 1.85] -> [-143.07, -13.20, 105.71, -105.71, 0.00]
[0.53, 0.71, 1.23] -> [53.26, -63.46, 23.97, -23.97, 0.00]
[0.73, -1.07, 0.5] -> [-55.70, -84.73, 52.75, -52.75, 0.00]
[-1.28, 0.95, -0.74] -> [143.42, -69.09, 136.83, -136.83, 0.00]
[1.56, -0.8, 0.95] -> [-27.15, -52.81, 77.65, -77.65, 0.00]
[1.3, -0.8, -0.1] -> [-31.61, -82.09, 87.38, -87.38, 0.00]
[-0.82, -0.0, 1.32] -> [-180.00, -57.72, 21.92, -21.92, 0.00]
[1.33, 0.13, -0.32] -> [5.58, -91.08, 87.13, -87.13, 0.00]
[0.83, 1.49, 1.72] -> [60.88, -24.61, 85.01, -85.01, 0.00]
[1.35, -0.12, -0.28] -> [-5.08, -90.35, 86.02, -86.02, 0.00]
[1.17, 1.12, 1.37] -> [43.75, -41.63, 71.00, -71.00, 0.00]
[-0.84, -1.5, 1.12] -> [-119.25, -48.30, 75.42, -75.42, 0.00]
[0.44, -0.4, 1.92] -> [-42.27, -15.56, 34.64, -34.64, 0.00]
[-0.07, 0.5, -1.13] -> [97.97, -109.05, 115.24, -115.24, 0.00]
[1.0, 0.49, 1.76] -> [26.10, -30.59, 50.19, -50.19, 0.00]
[-1.45, 1.66, 0.37] -> [131.14, -42.29, 127.32, -127.32, 0.00]
[0.19, -1.21, 0.23] -> [-81.08, -93.90, 56.51, -56.51, 0.00]
[-1.51, -0.94, 1.2] -> [-148.10, -43.42, 80.32, -80.32, 0.00]
[-0.16, 1.93, -0.41] -> [94.74, -54.66, 142.80, -142.80, 0.00]
[1.12, -1.58, 0.15] -> [-54.67, -59.84, 107.71, -107.71, 0.00]
[-0.34, -1.99, 1.02] -> [-99.70, -40.02, 98.83, -98.83, 0.00]
[-1.02, 0.55, 0.16] -> [151.67, -98.19, 55.50, -55.50, 0.00]
[0.75, -1.79, -0.35] -> [-67.27, -56.06, 137.52, -137.52, 0.00]
[0.83, -1.03, 1.46] -> [-51.14, -44.07, 53.52, -53.52, 0.00]
[-0.51, -0.97, -0.63] -> [-117.73, -99.02, 94.12, -94.12, 0.00]
[-1.48, 0.48, -0.41] -> [162.03, -79.07, 106.24, -106.24, 0.00]
[0.83, -0.95, 0.36] -> [-48.86, -89.69, 54.42, -54.42, 0.00]
[-1.31, 0.84, -0.91] -> [147.33, -61.76, 158.13, -158.13, 0.00]
[-0.85, -2.0, 1.02] -> [-113.03, -32.69, 113.57, -113.57, 0.00]
[1.62, 0.9, 0.49] -> [29.05, -60.07, 90.64, -90.64, 0.00]
[-1.87, 0.39, 0.94] -> [168.22, -46.92, 89.75, -89.75, 0.00]
[0.12, 0.9, -0.43] -> [82.41, -110.94, 73.30, -73.30, 0.00]
[-1.3, -0.42, -0.8] -> [-162.10, -81.18, 123.25, -123.25, 0.00]
[-0.75, 1.92, -0.04] -> [111.34, -52.03, 129.48, -129.48, 0.00]
[0.5, -1.84, 0.77] -> [-74.80, -51.62, 90.51, -90.51, 0.00]
[1.6, -0.41, -0.52] -> [-14.37, -71.89, 121.46, -121.46, 0.00]
[1.5, 0.74, -0.02] -> [26.26, -74.53, 93.70, -93.70, 0.00]
